COURSECODE,COURSENAME,COURSENAMEENG,CREDITMIN,CREDITMAX,CREDITTOTAL
SC328836,เว็บแบบสื่อความหมายและวิศวกรรมออนโทโลยี,Semantic Web and Ontology Engineering,3,3,3
SC328837,การพิจารณาธุรกิจโดยใช้เทคโนโลยีไร้สายยุคที่ห้า อินเทอร์เน็ตของสรรพสิ่ง และปัญญาประดิษฐ์,Business Consideration for 5G IoT and Artificial Intelligence,3,3,3
SC328838,ระบบธุรกิจอัจฉริยะขั้นสูง,Advanced Business Intelligence,3,3,3
SC328844,เทคโนโลยีระบบขนานและกระจาย,Parallel and Distributed System Technology,3,3,3
SC328845,ระบบฝังตัวและเทคโนโลยีหุ่นยนต์,Embedded Systems and Robotics Technology,3,3,3
SC363105,การปรับปรุงกระบวนการซอฟต์แวร์,Software Process Improvement,3,3,3
SC363106,ระบบการวางแผนทรัพยากรองค์กร,Enterprise Resource Planning System,3,3,3
SC363201,เทคโนโลยีเอ็กซ์เอ็มแอลและการประยุกต์,XML Technologies and Applications,3,3,3
SC363202,เทคโนโลยีเว็บแบบสื่อความหมาย,Semantic Web Technology,3,3,3
SC311003,การเขียนโปรแกรมเชิงวัตถุ,OBJECT – ORIENTED PROGRAMMING,3,3,3
SC311004,สถาปัตยกรรมระบบคอมพิวเตอร์,COMPUTER SYSTEMS ARCHITECTURE,3,3,3
SC311301,การพัฒนาโปรแกรมประยุกต์บนเว็บ,WEB APPLICATION DEVELOPMENT,3,3,3
SC348803,การคำนวณที่ได้แรงบันดาลใจจากธรรมชาติ,Nature-Inspired Computing,3,3,3
SC312105,วิศวกรรมข้อมูลขั้นพื้นฐาน,BASICS OF DATA ENGINEERING,3,3,3
SC312104,วิทยาการข้อมูลขั้นแนะนำ,INTRODUCTION TO DATA SCIENCE,3,3,3
SC338887,สถิติศาสตร์เชิงพื้นที่,SPATIAL STATISTICS,3,3,3
SC320001,เทคโนโลยีสารสนเทศและการสื่อสารขั้นแนะนำ,INTRODUCTION TO INFORMATION AND COMMUNICATION TECHNOLOGY,3,3,3
SC313304,เครือข่ายเซ็นเซอร์ไร้สาย,WIRELESS SENSOR NETWORKS,3,3,3
SC313305,คลาวน์คอมพิวติ้งขั้นนำ,INTRODUCTION TO CLOUD COMPUTING,3,3,3
SC313306,อินเตอร์เน็ตของสรรพสิ่ง,INTERNET OF THINGS,3,3,3
SC313402,การเข้ารหัสและความมั่นคงระบบเครือข่าย,CRYPTOGRAPHY AND NETWORK SECURITY,3,3,3
SC313403,ความมั่นคงสารสนเทศและไซเบอร์,INFORMATION AND CYBER SECURITY,3,3,3
SC313404,การบริหารระบบคอมพิวเตอร์และเครือข่าย,COMPUTER SYSTEM AND NETWORK ADMINISTRATION,3,3,3
SC313501,หลักภาษาโปรแกรม,PRINCIPLES OF PROGRAMMING LANGUAGES,3,3,3
